procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  0      0 3828020 233736 6465792    0    0    91    50  425  165  6  2 92  0  0
 1  0      0 3822540 233736 6466116    0    0     0     4  691 2525  1  1 98  0  0
 0  0      0 3813428 233736 6466116    0    0     0     4  572 2355  1  1 98  0  0
 0  0      0 3802096 233744 6466560    0    0     0    88  570 2356  2  0 98  0  0
 0  0      0 3800216 233744 6462460    0    0     0     4 1583 2542  4  1 95  0  0
 0  0      0 3788780 233752 6461452    0    0     0   100  738 2649  2  1 97  0  0
 0  0      0 3767060 233792 6465100    0    0    64   512 1712 4779  6  1 93  0  0
 0  0      0 3756800 233800 6464300    0    0     0   176  652 2486  2  1 98  0  0
 1  0      0 3748248 233800 6463376    0    0     0     4  635 2388  1  0 98  0  0
 3  0      0 3742624 233800 6462112    0    0     0     4  597 2361  1  1 98  0  0
 1  0      0 3740380 233800 6462064    0    0     0   472  592 2356  1  1 98  0  0
